in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-2,-0.2,0,0.100754,169.839842,dy_4-2_dx_0-0.2_dy_00.png
-1.2,-0.2,0,0.217658,159.45025,dy_4-1.2_dx_0-0.2_dy_00.png
-0.4,-0.2,0,0.209231,161.991179,dy_4-0.4_dx_0-0.2_dy_00.png
0.4,-0.2,0,0.142915,175.008003,dy_40.4_dx_0-0.2_dy_00.png
1.2,-0.2,0,0.090103,195.549656,dy_41.2_dx_0-0.2_dy_00.png
2,-0.2,0,0.07095,221.105704,dy_42_dx_0-0.2_dy_00.png
-2,0.2,0,0.079233,158.807471,dy_4-2_dx_00.2_dy_00.png
-1.2,0.2,0,0.182667,147.97703,dy_4-1.2_dx_00.2_dy_00.png
-0.4,0.2,0,0.171631,152.496118,dy_4-0.4_dx_00.2_dy_00.png
0.4,0.2,0,0.140444,167.2723,dy_40.4_dx_00.2_dy_00.png
1.2,0.2,0,0.0932,188.935224,dy_41.2_dx_00.2_dy_00.png
2,0.2,0,0.073929,215.213676,dy_42_dx_00.2_dy_00.png
-2,0.6,0,0.070406,149.303596,dy_4-2_dx_00.6_dy_00.png
-1.2,0.6,0,0.135741,137.648944,dy_4-1.2_dx_00.6_dy_00.png
-0.4,0.6,0,0.160877,145.130552,dy_4-0.4_dx_00.6_dy_00.png
0.4,0.6,0,0.149932,161.65705,dy_40.4_dx_00.6_dy_00.png
1.2,0.6,0,0.099803,184.243973,dy_41.2_dx_00.6_dy_00.png
2,0.6,0,0.078365,211.070606,dy_42_dx_00.6_dy_00.png
-2,1,0,0.077984,142.293629,dy_4-2_dx_01_dy_00.png
-1.2,1,0,0.110503,129.061027,dy_4-1.2_dx_01_dy_00.png
-0.4,1,0,0.17661,140.426033,dy_4-0.4_dx_01_dy_00.png
0.4,1,0,0.172008,158.180467,dy_40.4_dx_01_dy_00.png
1.2,1,0,0.109368,181.31548,dy_41.2_dx_01_dy_00.png
2,1,0,0.083805,208.44808,dy_42_dx_01_dy_00.png
-2,-1,1.0,0.079822,185.060241,dy_4-2_dx_0-1_dy_01.0.png
-1.2,-1,1.0,0.186116,168.274048,dy_4-1.2_dx_0-1_dy_01.0.png
-0.4,-1,1.0,1.857525,161.065753,dy_4-0.4_dx_0-1_dy_01.0.png
0.4,-1,1.0,0.416993,165.311804,dy_40.4_dx_0-1_dy_01.0.png
1.2,-1,1.0,0.122589,179.771956,dy_41.2_dx_0-1_dy_01.0.png
2,-1,1.0,0.07833,201.40089,dy_42_dx_0-1_dy_01.0.png
-2,-0.6,1.0,0.071771,175.490407,dy_4-2_dx_0-0.6_dy_01.0.png
-1.2,-0.6,1.0,0.145411,157.466094,dy_4-1.2_dx_0-0.6_dy_01.0.png
-0.4,-0.6,1.0,1.698694,149.773369,dy_4-0.4_dx_0-0.6_dy_01.0.png
0.4,-0.6,1.0,0.401543,154.750158,dy_40.4_dx_0-0.6_dy_01.0.png
1.2,-0.6,1.0,0.135038,170.497006,dy_41.2_dx_0-0.6_dy_01.0.png
2,-0.6,1.0,0.097364,193.314643,dy_42_dx_0-0.6_dy_01.0.png
-2,-0.2,1.0,0.107406,168.179287,dy_4-2_dx_0-0.2_dy_01.0.png
-1.2,-0.2,1.0,0.137172,148.55384,dy_4-1.2_dx_0-0.2_dy_01.0.png
-0.4,-0.2,1.0,1.467793,140.140272,dy_4-0.4_dx_0-0.2_dy_01.0.png
0.4,-0.2,1.0,0.41262,146.181219,dy_40.4_dx_0-0.2_dy_01.0.png
1.2,-0.2,1.0,0.155216,163.528342,dy_41.2_dx_0-0.2_dy_01.0.png
2,-0.2,1.0,0.108835,187.61776,dy_42_dx_0-0.2_dy_01.0.png
-2,0.2,1.0,0.121875,162.247581,dy_4-2_dx_00.2_dy_01.0.png
-1.2,0.2,1.0,0.18194,140.5795,dy_4-1.2_dx_00.2_dy_01.0.png
-0.4,0.2,1.0,1.16598,131.001216,dy_4-0.4_dx_00.2_dy_01.0.png
0.4,0.2,1.0,0.454824,138.696922,dy_40.4_dx_00.2_dy_01.0.png
1.2,0.2,1.0,0.169558,157.969791,dy_41.2_dx_00.2_dy_01.0.png
2,0.2,1.0,0.113622,183.318492,dy_42_dx_00.2_dy_01.0.png
-2,0.6,1.0,0.124527,157.818611,dy_4-2_dx_00.6_dy_01.0.png
-1.2,0.6,1.0,0.208227,133.753529,dy_4-1.2_dx_00.6_dy_01.0.png
-0.4,0.6,1.0,0.900508,122.083473,dy_4-0.4_dx_00.6_dy_01.0.png
0.4,0.6,1.0,0.524085,132.54557,dy_40.4_dx_00.6_dy_01.0.png
1.2,0.6,1.0,0.179466,153.89192,dy_41.2_dx_00.6_dy_01.0.png
2,0.6,1.0,0.115788,180.313157,dy_42_dx_00.6_dy_01.0.png
-2,1,1.0,0.127035,155.290818,dy_4-2_dx_01_dy_01.0.png
-1.2,1,1.0,0.221411,129.183574,dy_4-1.2_dx_01_dy_01.0.png
-0.4,1,1.0,0.860357,113.438259,dy_4-0.4_dx_01_dy_01.0.png
0.4,1,1.0,0.608883,128.664171,dy_40.4_dx_01_dy_01.0.png
1.2,1,1.0,0.189774,151.596089,dy_41.2_dx_01_dy_01.0.png
2,1,1.0,0.120107,178.670442,dy_42_dx_01_dy_01.0.png
-2,-1,2,0.078471,203.084106,dy_4-2_dx_0-1_dy_02.png
-1.2,-1,2,0.129565,182.064477,dy_4-1.2_dx_0-1_dy_02.png
-0.4,-1,2,0.478336,168.472174,dy_4-0.4_dx_0-1_dy_02.png
0.4,-1,2,0.98854,165.201871,dy_40.4_dx_0-1_dy_02.png
1.2,-1,2,0.167872,173.229021,dy_41.2_dx_0-1_dy_02.png
2,-1,2,0.080051,190.572804,dy_42_dx_0-1_dy_02.png
-2,-0.6,2,0.08478,193.898913,dy_4-2_dx_0-0.6_dy_02.png
-1.2,-0.6,2,0.13331,171.69656,dy_4-1.2_dx_0-0.6_dy_02.png
-0.4,-0.6,2,0.412053,156.814416,dy_4-0.4_dx_0-0.6_dy_02.png
0.4,-0.6,2,0.931435,152.788394,dy_40.4_dx_0-0.6_dy_02.png
1.2,-0.6,2,0.136472,161.270516,dy_41.2_dx_0-0.6_dy_02.png
2,-0.6,2,0.066394,179.844589,dy_42_dx_0-0.6_dy_02.png
-2,-0.2,2,0.093356,187.506669,dy_4-2_dx_0-0.2_dy_02.png
-1.2,-0.2,2,0.143319,164.042811,dy_4-1.2_dx_0-0.2_dy_02.png
-0.4,-0.2,2,0.376961,147.563353,dy_4-0.4_dx_0-0.2_dy_02.png
0.4,-0.2,2,0.836494,142.439977,dy_40.4_dx_0-0.2_dy_02.png
1.2,-0.2,2,0.111838,151.600366,dy_41.2_dx_0-0.2_dy_02.png
2,-0.2,2,0.073221,171.772367,dy_42_dx_0-0.2_dy_02.png
-2,0.2,2,0.102373,182.815168,dy_4-2_dx_00.2_dy_02.png
-1.2,0.2,2,0.158327,158.106599,dy_4-1.2_dx_00.2_dy_02.png
-0.4,0.2,2,0.382222,139.716872,dy_4-0.4_dx_00.2_dy_02.png
0.4,0.2,2,0.684701,132.89583,dy_40.4_dx_00.2_dy_02.png
1.2,0.2,2,0.120556,143.155773,dy_41.2_dx_00.2_dy_02.png
2,0.2,2,0.091833,165.380039,dy_42_dx_00.2_dy_02.png
-2,0.6,2,0.110536,179.569209,dy_4-2_dx_00.6_dy_02.png
-1.2,0.6,2,0.175741,153.804348,dy_4-1.2_dx_00.6_dy_02.png
-0.4,0.6,2,0.433394,133.375563,dy_4-0.4_dx_00.6_dy_02.png
0.4,0.6,2,0.505321,123.744213,dy_40.4_dx_00.6_dy_02.png
1.2,0.6,2,0.146915,135.990568,dy_41.2_dx_00.6_dy_02.png
2,0.6,2,0.102318,160.648419,dy_42_dx_00.6_dy_02.png
-2,1,2,0.117268,177.762443,dy_4-2_dx_01_dy_02.png
-1.2,1,2,0.192873,151.356244,dy_4-1.2_dx_01_dy_02.png
-0.4,1,2,0.529904,129.383752,dy_4-0.4_dx_01_dy_02.png
0.4,1,2,0.434668,115.030175,dy_40.4_dx_01_dy_02.png
1.2,1,2,0.165834,131.155415,dy_41.2_dx_01_dy_02.png
2,1,2,0.110476,157.916475,dy_42_dx_01_dy_02.png
-2,-1,3,0.072977,241.713205,dy_4-2_dx_0-1_dy_03.png
-1.2,-1,3,0.10191,218.485182,dy_4-1.2_dx_0-1_dy_03.png
-0.4,-1,3,0.194468,201.155373,dy_4-0.4_dx_0-1_dy_03.png
0.4,-1,3,0.302337,192.020133,dy_40.4_dx_0-1_dy_03.png
1.2,-1,3,0.207159,192.616126,dy_41.2_dx_0-1_dy_03.png
2,-1,3,0.120905,203.079257,dy_42_dx_0-1_dy_03.png
-2,-0.6,3,0.071846,230.903473,dy_4-2_dx_0-0.6_dy_03.png
-1.2,-0.6,3,0.096702,206.816707,dy_4-1.2_dx_0-0.6_dy_03.png
-0.4,-0.6,3,0.165377,188.367348,dy_4-0.4_dx_0-0.6_dy_03.png
0.4,-0.6,3,0.235243,177.931747,dy_40.4_dx_0-0.6_dy_03.png
1.2,-0.6,3,0.198688,177.552712,dy_41.2_dx_0-0.6_dy_03.png
2,-0.6,3,0.112973,188.160654,dy_42_dx_0-0.6_dy_03.png
-2,-0.2,3,0.072446,222.540305,dy_4-2_dx_0-0.2_dy_03.png
-1.2,-0.2,3,0.0949,197.63623,dy_4-1.2_dx_0-0.2_dy_03.png
-0.4,-0.2,3,0.147551,178.02663,dy_4-0.4_dx_0-0.2_dy_03.png
0.4,-0.2,3,0.182865,166.046768,dy_40.4_dx_0-0.2_dy_03.png
1.2,-0.2,3,0.183084,164.29855,dy_41.2_dx_0-0.2_dy_03.png
2,-0.2,3,0.098429,175.124972,dy_42_dx_0-0.2_dy_03.png
-2,0.2,3,0.074812,216.268792,dy_4-2_dx_00.2_dy_03.png
-1.2,0.2,3,0.096961,190.649714,dy_4-1.2_dx_00.2_dy_03.png
-0.4,0.2,3,0.141649,169.931706,dy_4-0.4_dx_00.2_dy_03.png
0.4,0.2,3,0.149619,156.210017,dy_40.4_dx_00.2_dy_03.png
1.2,0.2,3,0.155072,152.463707,dy_41.2_dx_00.2_dy_03.png
2,0.2,3,0.077818,163.651949,dy_42_dx_00.2_dy_03.png
-2,0.6,3,0.078797,211.784376,dy_4-2_dx_00.6_dy_03.png
-1.2,0.6,3,0.10304,185.623485,dy_4-1.2_dx_00.6_dy_03.png
-0.4,0.6,3,0.148497,163.994758,dy_4-0.4_dx_00.6_dy_03.png
0.4,0.6,3,0.137843,148.552298,dy_40.4_dx_00.6_dy_03.png
1.2,0.6,3,0.116475,141.849216,dy_41.2_dx_00.6_dy_03.png
2,0.6,3,0.06606,153.715158,dy_42_dx_00.6_dy_03.png
-2,1,3,0.084048,208.87075,dy_4-2_dx_01_dy_03.png
-1.2,1,3,0.112818,182.407739,dy_4-1.2_dx_01_dy_03.png
-0.4,1,3,0.168945,160.24003,dy_4-0.4_dx_01_dy_03.png
0.4,1,3,0.147544,143.598934,dy_40.4_dx_01_dy_03.png
1.2,1,3,0.094787,133.123318,dy_41.2_dx_01_dy_03.png
2,1,3,0.071094,146.28325,dy_42_dx_01_dy_03.png
